state,year,line,outcome_category,count,source_type,is_partial_year,notes
IA,1999,all_lines,,2641,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
IA,2000,all_lines,,2259,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
IA,2001,all_lines,,2805,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
IA,2002,all_lines,,3010,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
IA,2004,all_lines,,2431,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
IA,2005,all_lines,,2247,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
IA,2006,all_lines,,2303,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
IA,2007,all_lines,,1935,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
IA,2008,all_lines,,1964,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
IA,2009,all_lines,,1830,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
IA,2010,all_lines,,1834,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
IA,2011,all_lines,,1762,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
IA,2012,all_lines,,1662,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
IA,2013,all_lines,,1581,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
IA,2014,all_lines,,1575,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
IA,2015,all_lines,,1605,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
IA,2016,all_lines,,1814,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
IA,2017,all_lines,,1584,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
IA,2018,all_lines,,1492,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
IA,2019,all_lines,,1468,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
IA,2020,all_lines,,1469,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
IA,2021,all_lines,,1392,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
IA,2022,all_lines,,1566,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
ID,1998,all_lines,,1826,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
ID,1999,all_lines,,1187,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
ID,2000,all_lines,,1290,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
ID,2001,all_lines,,1651,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
ID,2002,all_lines,,1341,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
ID,2004,all_lines,,1284,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
ID,2005,all_lines,,1045,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
ID,2006,all_lines,,973,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
ID,2007,all_lines,,926,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
ID,2008,all_lines,,882,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
ID,2009,all_lines,,844,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
ID,2010,all_lines,,900,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
ID,2011,all_lines,,863,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
ID,2012,all_lines,,780,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
ID,2013,all_lines,,769,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
ID,2014,all_lines,,808,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
ID,2015,all_lines,,921,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
ID,2016,all_lines,,992,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
ID,2017,all_lines,,885,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
ID,2018,all_lines,,887,idrr,false,"NAIC IDRR Vol 1, data year 2018; complaints received, not closed"
ID,2019,all_lines,,861,idrr,false,"NAIC IDRR Vol 1, data year 2019; complaints received, not closed"
ID,2020,all_lines,,758,idrr,false,"NAIC IDRR Vol 1, data year 2020; complaints received, not closed"
ID,2021,all_lines,,772,idrr,false,"NAIC IDRR Vol 1, data year 2021; complaints received, not closed"
ID,2022,all_lines,,868,idrr,false,"NAIC IDRR Vol 1, data year 2022; complaints received, not closed"
IL,1998,all_lines,,13812,idrr,false,"NAIC IDRR Vol 1, data year 1998; complaints received, not closed"
IL,1999,all_lines,,14867,idrr,false,"NAIC IDRR Vol 1, data year 1999; complaints received, not closed"
IL,2000,all_lines,,15304,idrr,false,"NAIC IDRR Vol 1, data year 2000; complaints received, not closed"
IL,2001,all_lines,,13706,idrr,false,"NAIC IDRR Vol 1, data year 2001; complaints received, not closed"
IL,2002,all_lines,,13318,idrr,false,"NAIC IDRR Vol 1, data year 2002; complaints received, not closed"
IL,2004,all_lines,,14180,idrr,false,"NAIC IDRR Vol 1, data year 2004; complaints received, not closed"
IL,2005,all_lines,,12426,idrr,false,"NAIC IDRR Vol 1, data year 2005; complaints received, not closed"
IL,2006,all_lines,,11487,idrr,false,"NAIC IDRR Vol 1, data year 2006; complaints received, not closed"
IL,2007,all_lines,,10652,idrr,false,"NAIC IDRR Vol 1, data year 2007; complaints received, not closed"
IL,2008,all_lines,,10545,idrr,false,"NAIC IDRR Vol 1, data year 2008; complaints received, not closed"
IL,2009,all_lines,,10357,idrr,false,"NAIC IDRR Vol 1, data year 2009; complaints received, not closed"
IL,2010,all_lines,,9924,idrr,false,"NAIC IDRR Vol 1, data year 2010; complaints received, not closed"
IL,2011,all_lines,,9171,idrr,false,"NAIC IDRR Vol 1, data year 2011; complaints received, not closed"
IL,2012,all_lines,,9365,idrr,false,"NAIC IDRR Vol 1, data year 2012; complaints received, not closed"
IL,2013,all_lines,,8339,idrr,false,"NAIC IDRR Vol 1, data year 2013; complaints received, not closed"
IL,2014,all_lines,,9941,idrr,false,"NAIC IDRR Vol 1, data year 2014; complaints received, not closed"
IL,2015,all_lines,,11618,idrr,false,"NAIC IDRR Vol 1, data year 2015; complaints received, not closed"
IL,2016,all_lines,,11068,idrr,false,"NAIC IDRR Vol 1, data year 2016; complaints received, not closed"
IL,2017,all_lines,,8994,idrr,false,"NAIC IDRR Vol 1, data year 2017; complaints received, not closed"
